Host,HostCode,Target,TargetCode,Amount,
Albania,ALB,Mali,MLI,2208.00,
Albania,ALB,Malta,MLT,0.00,
Albania,ALB,Marshall Islands,MHL,0.00,
Albania,ALB,Martinique,MTQ,0.00,
Albania,ALB,Mauritania,MRT,0.00,
Albania,ALB,Mauritius,MUS,0.00,
Albania,ALB,Mayotte,MYT,0.00,
Albania,ALB,Mexico,MEX,8064.00,
Albania,ALB,"Micronesia, Federated States of",FSM,0.00,
Albania,ALB,"Moldova, Republic of",MDA,118080.00,
Albania,ALB,Monaco,MCO,0.00,
Albania,ALB,Mongolia,MNG,4800.00,
Albania,ALB,Montserrat,MSR,0.00,
Albania,ALB,Morocco,MAR,5520.00,
Albania,ALB,Mozambique,MOZ,1104.00,
Albania,ALB,Myanmar,MMR,960.00,
Albania,ALB,Namibia,NAM,0.00,
Albania,ALB,Nauru,NRU,0.00,
Albania,ALB,Nepal,NPL,960.00,
Albania,ALB,Netherlands,NLD,9600.00,
Albania,ALB,Netherlands Antilles,ANT,0.00,
Albania,ALB,New Caledonia,NCL,0.00,
Albania,ALB,New Zealand,NZL,1920.00,
Albania,ALB,Nicaragua,NIC,626.67,
Albania,ALB,Niger,NER,1104.00,
Albania,ALB,Nigeria,NGA,14303.16,
Albania,ALB,Niue,NIU,0.00,
Albania,ALB,Norfolk Island,NFK,0.00,
Albania,ALB,Northern Mariana Islands,MNP,0.00,
Albania,ALB,Norway,NOR,2880.00,
Albania,ALB,Oman,OMN,0.00,
Albania,ALB,Pakistan,PAK,8640.00,
Albania,ALB,Palau,PLW,0.00,
Albania,ALB,"Palestinian Territory, Occupied ",PSE,1920.00,
Albania,ALB,Panama,PAN,0.00,
Albania,ALB,Papua New Guinea,PNG,0.00,
Albania,ALB,Paraguay,PRY,448.00,
Albania,ALB,Peru,PER,896.00,
Albania,ALB,Philippines,PHL,12480.00,
Albania,ALB,Poland,POL,122880.00,
Albania,ALB,Portugal,PRT,5760.00,
Albania,ALB,Puerto Rico,PRI,1344.00,
Albania,ALB,Qatar,QAT,0.00,
Albania,ALB,Reunion*,REU,0.00,
Albania,ALB,Romania,ROM,2659200.00,
Albania,ALB,Russian Federation,RUS,2426880.00,
Albania,ALB,Rwanda,RWA,0.00,
Albania,ALB,Saint Helena*,SHN,0.00,
Albania,ALB,Saint Kitts and Nevis,KNA,0.00,
Albania,ALB,Saint Lucia,LCA,0.00,
Albania,ALB,Saint Pierre and Miquelon*,SPM,0.00,
Albania,ALB,Saint Vincent and the Grenadines,VCT,0.00,
Albania,ALB,Samoa,WSM,0.00,
Albania,ALB,San Marino,SMR,0.00,
Albania,ALB,Sao Tome and Principe,STP,0.00,
Albania,ALB,Saudi Arabia,SAU,960.00,
Albania,ALB,Senegal,SEN,1104.00,
Albania,ALB,Serbia and Montenegro,SCG,434880.00,
Albania,ALB,Seychelles,SYC,0.00,
Albania,ALB,Sierra Leone,SLE,0.00,
Albania,ALB,Singapore,SGP,960.00,
Albania,ALB,Slovakia,SVK,1050240.00,
Albania,ALB,Slovenia,SVN,74880.00,
Albania,ALB,Solomon Islands,SLB,0.00,
Albania,ALB,Somalia,SOM,1104.00,
Albania,ALB,South Africa,ZAF,8832.00,
Albania,ALB,Spain,ESP,43200.00,
Albania,ALB,Sri Lanka,LKA,14400.00,
Albania,ALB,Sudan,SDN,2208.00,
Albania,ALB,Suriname,SUR,448.00,
Albania,ALB,Swaziland,SWZ,0.00,
Albania,ALB,Sweden,SWE,12480.00,
Albania,ALB,Switzerland,CHE,43200.00,
Albania,ALB,Syrian Arab Republic,SYR,25920.00,
Albania,ALB,Taiwan,TWN,960.00,
Albania,ALB,Tajikistan,TJK,24000.00,
Albania,ALB,"Tanzania, United Republic of",TZA,1104.00,
Albania,ALB,Thailand,THA,1920.00,
Albania,ALB,Timor Leste,TLS,0.00,
Albania,ALB,Togo,TGO,0.00,
Albania,ALB,Tokelau,TKL,0.00,
Albania,ALB,Tonga,TON,0.00,
Albania,ALB,Trinidad and Tobago,TTO,448.00,
Albania,ALB,Tunisia,TUN,1920.00,
Albania,ALB,Turkey,TUR,313920.00,
Albania,ALB,Turkmenistan,TKM,16320.00,
Albania,ALB,Turks and Caicos,TCA,0.00,
Albania,ALB,Tuvalu,TUV,0.00,
Albania,ALB,Uganda,UGA,1104.00,
Albania,ALB,Ukraine,UKR,1597440.00,
Albania,ALB,United Arab Emirates,ARE,960.00,
Albania,ALB,United Kingdom,GBR,78720.00,
Albania,ALB,United States of America,USA,75840.00,
Albania,ALB,Uruguay,URY,448.00,
Albania,ALB,Uzbekistan,UZB,146880.00,
Albania,ALB,Vanuatu,VUT,0.00,
Albania,ALB,Venezuela,VEN,448.00,
Albania,ALB,Viet Nam,VNM,64320.00,
Albania,ALB,"Virgin Islands, British ",VGB,0.00,
Albania,ALB,"Virgin Islands, U.S.",VIR,0.00,
Albania,ALB,Wallis and Futuna*,WLF,0.00,
Albania,ALB,Yemen,YEM,1920.00,
Albania,ALB,Zambia,ZMB,1104.00,
Albania,ALB,Zimbabwe,ZWE,1104.00,
Algeria,DZA,Afghanistan,AFG,1024920.00,
Algeria,DZA,Albania,ALB,347760.00,
Algeria,DZA,Algeria,DZA,0.00,
Algeria,DZA,American Samoa,ASM,17280.00,
Algeria,DZA,Andorra,AND,3240.00,
Algeria,DZA,Angola,AGO,339066.00,
Algeria,DZA,Anguilla,AIA,2160.00,
Algeria,DZA,Antigua & Barbuda,ATG,30240.00,
Algeria,DZA,Argentina,ARG,385560.00,
Algeria,DZA,Armenia,ARM,400680.00,
Algeria,DZA,Aruba,ABW,5400.00,
Algeria,DZA,Australia,AUS,1971000.00,
Algeria,DZA,Austria,AUT,2435400.00,
Algeria,DZA,Azerbaijan,AZE,579960.00,
Algeria,DZA,Bahamas,BHS,20520.00,
Algeria,DZA,Bahrain,BHR,1329480.00,
Algeria,DZA,Bangladesh,BGD,2152440.00,
Algeria,DZA,Barbados,BRB,43200.00,
Algeria,DZA,Belarus,BLR,847800.00,
Algeria,DZA,Belgium,BEL,2322000.00,
Algeria,DZA,Belize,BLZ,21600.00,
Algeria,DZA,Benin,BEN,264546.00,
Algeria,DZA,Bermuda,BMU,21600.00,
Algeria,DZA,Bhutan,BTN,4320.00,
Algeria,DZA,Bolivia,BOL,237848.92,
Algeria,DZA,Bosnia and Herzegovina,BIH,505440.00,
Algeria,DZA,Botswana,BWA,8694.00,
Algeria,DZA,Brazil,BRA,422280.00,
Algeria,DZA,Brunei Darussalam,BRN,34560.00,
Algeria,DZA,Bulgaria,BGR,361800.00,
Algeria,DZA,Burkina Faso,BFA,597402.00,
Algeria,DZA,Burundi,BDI,192510.00,
Algeria,DZA,Cambodia,KHM,126360.00,
Algeria,DZA,Cameroon,CMR,137862.00,
Algeria,DZA,Canada,CAN,1352160.00,
Algeria,DZA,Cape Verde,CPV,81972.00,
Algeria,DZA,Cayman Islands,CYM,1080.00,
Algeria,DZA,Central African Republic,CAF,69552.00,
Algeria,DZA,Chad,TCD,270756.00,
Algeria,DZA,Chile,CHL,227880.00,
Algeria,DZA,China,CHN,2516400.00,
Algeria,DZA,Colombia,COL,697680.00,
Algeria,DZA,Comoros,COM,777492.00,
Algeria,DZA,Congo,COG,231012.00,
Algeria,DZA,"Congo, the Democratic Republic of the",COD,367632.00,
Algeria,DZA,Cook Islands,COK,9720.00,
Algeria,DZA,Costa Rica,CRI,76581.26,
Algeria,DZA,Cote d'Ivoire,CIV,177606.00,
Algeria,DZA,Croatia,HRV,282960.00,
Algeria,DZA,Cuba,CUB,454680.00,
Algeria,DZA,Cyprus,CYP,110160.00,
Algeria,DZA,Czech Republic,CZE,1252800.00,
Algeria,DZA,Denmark,DNK,1058400.00,
Algeria,DZA,Djibouti,DJI,321678.00,
Algeria,DZA,Dominica,DMA,17280.00,
Algeria,DZA,Dominican Republic,DOM,662652.82,
Algeria,DZA,Ecuador,ECU,404108.85,
Algeria,DZA,Egypt,EGY,25054866.00,
Algeria,DZA,El Salvador,SLV,554812.06,
Algeria,DZA,Equatorial Guinea,GNQ,44712.00,
Algeria,DZA,Eritrea,ERI,7068222.00,
Algeria,DZA,Estonia,EST,75600.00,
Algeria,DZA,Ethiopia,ETH,403650.00,
Algeria,DZA,Falkland Islands (Malvinas)*,FLK,1080.00,
Algeria,DZA,Faroe Islands,FRO,0.00,
Algeria,DZA,Fiji,FJI,60480.00,
Algeria,DZA,Finland,FIN,196560.00,
Algeria,DZA,France,FRA,17253000.00,
Algeria,DZA,French Guiana,GUF,2160.00,
Algeria,DZA,French Polynesia,PYF,1080.00,
Algeria,DZA,Gabon,GAB,24840.00,
Algeria,DZA,Gambia,GMB,38502.00,
Algeria,DZA,Georgia,GEO,446040.00,
Algeria,DZA,Germany,DEU,5785560.00,
Algeria,DZA,Ghana,GHA,515430.00,
Algeria,DZA,Gibraltar,GIB,9720.00,
Algeria,DZA,Greece,GRC,922320.00,
Algeria,DZA,Greenland,GRL,2160.00,
Algeria,DZA,Grenada,GRD,28080.00,
Algeria,DZA,Guadeloupe,GLP,1080.00,
Algeria,DZA,Guam,GUM,36720.00,
Algeria,DZA,Guatemala,GTM,540391.45,
Algeria,DZA,Guinea,GIN,331614.00,
Algeria,DZA,Guinea-Bissau,GNB,85698.00,
Algeria,DZA,Guyana,GUY,105120.00,
Algeria,DZA,Haiti,HTI,312120.00,
Algeria,DZA,Honduras,HND,371077.26,
Algeria,DZA,Hong Kong,HKG,335880.00,
Algeria,DZA,Hungary,HUN,212760.00,
Algeria,DZA,Iceland,ISL,22680.00,
