Dest,DestCode,Origin,OriginCode,Migrants
Albania,ALB,"Palestinian Territory, Occupied ",PSE,2.00
Albania,ALB,Panama,PAN,0.00
Albania,ALB,Papua New Guinea,PNG,0.00
Albania,ALB,Paraguay,PRY,1.00
Albania,ALB,Peru,PER,2.00
Albania,ALB,Philippines,PHL,13.00
Albania,ALB,Poland,POL,128.00
Albania,ALB,Portugal,PRT,6.00
Albania,ALB,Puerto Rico,PRI,3.00
Albania,ALB,Qatar,QAT,0.00
Albania,ALB,Reunion*,REU,0.00
Albania,ALB,Romania,ROM,554.00
Albania,ALB,Russian Federation,RUS,2528.00
Albania,ALB,Rwanda,RWA,0.00
Albania,ALB,Saint Helena*,SHN,0.00
Albania,ALB,Saint Kitts and Nevis,KNA,0.00
Albania,ALB,Saint Lucia,LCA,0.00
Albania,ALB,Saint Pierre and Miquelon*,SPM,0.00
Albania,ALB,Saint Vincent and the Grenadines,VCT,0.00
Albania,ALB,Samoa,WSM,0.00
Albania,ALB,San Marino,SMR,0.00
Albania,ALB,Sao Tome and Principe,STP,0.00
Albania,ALB,Saudi Arabia,SAU,1.00
Albania,ALB,Senegal,SEN,1.15
Albania,ALB,Serbia and Montenegro,SCG,453.00
Albania,ALB,Seychelles,SYC,0.00
Albania,ALB,Sierra Leone,SLE,0.00
Albania,ALB,Singapore,SGP,1.00
Albania,ALB,Slovakia,SVK,1094.00
Albania,ALB,Slovenia,SVN,78.00
Albania,ALB,Solomon Islands,SLB,0.00
Albania,ALB,Somalia,SOM,1.15
Albania,ALB,South Africa,ZAF,9.20
Albania,ALB,Spain,ESP,9.00
Albania,ALB,Sri Lanka,LKA,15.00
Albania,ALB,Sudan,SDN,2.30
Albania,ALB,Suriname,SUR,1.00
Albania,ALB,Swaziland,SWZ,0.00
Albania,ALB,Sweden,SWE,13.00
Albania,ALB,Switzerland,CHE,9.00
Albania,ALB,Syrian Arab Republic,SYR,27.00
Albania,ALB,Taiwan,TWN,1.00
Albania,ALB,Tajikistan,TJK,25.00
Albania,ALB,"Tanzania, United Republic of",TZA,1.15
Albania,ALB,Thailand,THA,2.00
Albania,ALB,Timor Leste,TLS,0.00
Albania,ALB,Togo,TGO,0.00
Albania,ALB,Tokelau,TKL,0.00
Albania,ALB,Tonga,TON,0.00
Albania,ALB,Trinidad and Tobago,TTO,1.00
Albania,ALB,Tunisia,TUN,2.00
Albania,ALB,Turkey,TUR,327.00
Albania,ALB,Turkmenistan,TKM,17.00
Albania,ALB,Turks and Caicos,TCA,0.00
Albania,ALB,Tuvalu,TUV,0.00
Albania,ALB,Uganda,UGA,1.15
Albania,ALB,Ukraine,UKR,1664.00
Albania,ALB,United Arab Emirates,ARE,1.00
Albania,ALB,United Kingdom,GBR,82.00
Albania,ALB,United States of America,USA,79.00
Albania,ALB,Uruguay,URY,1.00
Albania,ALB,Uzbekistan,UZB,153.00
Albania,ALB,Vanuatu,VUT,0.00
Albania,ALB,Venezuela,VEN,1.00
Albania,ALB,Viet Nam,VNM,67.00
Albania,ALB,"Virgin Islands, British ",VGB,0.00
Albania,ALB,"Virgin Islands, U.S.",VIR,0.00
Albania,ALB,Wallis and Futuna*,WLF,0.00
Albania,ALB,X,X,0.00
Albania,ALB,Yemen,YEM,2.00
Albania,ALB,Zambia,ZMB,1.15
Albania,ALB,Zimbabwe,ZWE,1.15
Algeria,DZA,Afghanistan,AFG,949.00
Algeria,DZA,Albania,ALB,322.00
Algeria,DZA,Algeria,DZA,0.00
Algeria,DZA,American Samoa,ASM,16.00
Algeria,DZA,Andorra,AND,3.00
Algeria,DZA,Angola,AGO,313.95
Algeria,DZA,Anguilla,AIA,2.00
Algeria,DZA,Antigua & Barbuda,ATG,28.00
Algeria,DZA,Argentina,ARG,357.00
Algeria,DZA,Armenia,ARM,371.00
Algeria,DZA,Aruba,ABW,5.00
Algeria,DZA,Australia,AUS,365.00
Algeria,DZA,Austria,AUT,451.00
Algeria,DZA,Azerbaijan,AZE,537.00
Algeria,DZA,Bahamas,BHS,19.00
Algeria,DZA,Bahrain,BHR,1231.00
Algeria,DZA,Bangladesh,BGD,1993.00
Algeria,DZA,Barbados,BRB,40.00
Algeria,DZA,Belarus,BLR,785.00
Algeria,DZA,Belgium,BEL,430.00
Algeria,DZA,Belize,BLZ,20.00
Algeria,DZA,Benin,BEN,244.95
Algeria,DZA,Bermuda,BMU,10.00
Algeria,DZA,Bhutan,BTN,4.00
Algeria,DZA,Bolivia,BOL,220.23
Algeria,DZA,Bosnia and Herzegovina,BIH,468.00
Algeria,DZA,Botswana,BWA,8.05
Algeria,DZA,Brazil,BRA,391.00
Algeria,DZA,Brunei Darussalam,BRN,32.00
Algeria,DZA,Bulgaria,BGR,335.00
Algeria,DZA,Burkina Faso,BFA,553.15
Algeria,DZA,Burundi,BDI,178.25
Algeria,DZA,Cambodia,KHM,117.00
Algeria,DZA,Cameroon,CMR,127.65
Algeria,DZA,Canada,CAN,626.00
Algeria,DZA,Cape Verde,CPV,75.90
Algeria,DZA,Cayman Islands,CYM,1.00
Algeria,DZA,Central African Republic,CAF,64.40
Algeria,DZA,Chad,TCD,250.70
Algeria,DZA,Chile,CHL,211.00
Algeria,DZA,China,CHN,2330.00
Algeria,DZA,Colombia,COL,646.00
Algeria,DZA,Comoros,COM,719.90
Algeria,DZA,Congo,COG,213.90
Algeria,DZA,"Congo, the Democratic Republic of the",COD,340.40
Algeria,DZA,Cook Islands,COK,9.00
Algeria,DZA,Costa Rica,CRI,70.91
Algeria,DZA,Cote d'Ivoire,CIV,164.45
Algeria,DZA,Croatia,HRV,262.00
Algeria,DZA,Cuba,CUB,421.00
Algeria,DZA,Cyprus,CYP,102.00
Algeria,DZA,Czech Republic,CZE,232.00
Algeria,DZA,Denmark,DNK,196.00
Algeria,DZA,Djibouti,DJI,297.85
Algeria,DZA,Dominica,DMA,16.00
Algeria,DZA,Dominican Republic,DOM,613.57
Algeria,DZA,Ecuador,ECU,374.17
Algeria,DZA,Egypt,EGY,23198.95
Algeria,DZA,El Salvador,SLV,513.71
Algeria,DZA,Equatorial Guinea,GNQ,41.40
Algeria,DZA,Eritrea,ERI,6544.65
Algeria,DZA,Estonia,EST,70.00
Algeria,DZA,Ethiopia,ETH,373.75
Algeria,DZA,Falkland Islands (Malvinas)*,FLK,1.00
Algeria,DZA,Faroe Islands,FRO,0.00
Algeria,DZA,Fiji,FJI,56.00
Algeria,DZA,Finland,FIN,182.00
Algeria,DZA,France,FRA,3195.00
Algeria,DZA,French Guiana,GUF,2.00
Algeria,DZA,French Polynesia,PYF,1.00
Algeria,DZA,Gabon,GAB,23.00
Algeria,DZA,Gambia,GMB,35.65
Algeria,DZA,Georgia,GEO,413.00
Algeria,DZA,Germany,DEU,5357.00
Algeria,DZA,Ghana,GHA,477.25
Algeria,DZA,Gibraltar,GIB,9.00
Algeria,DZA,Greece,GRC,854.00
Algeria,DZA,Greenland,GRL,2.00
Algeria,DZA,Grenada,GRD,26.00
Algeria,DZA,Guadeloupe,GLP,1.00
Algeria,DZA,Guam,GUM,34.00
Algeria,DZA,Guatemala,GTM,500.36
Algeria,DZA,Guinea,GIN,307.05
Algeria,DZA,Guinea-Bissau,GNB,79.35
Algeria,DZA,Guyana,GUY,146.00
Algeria,DZA,Haiti,HTI,289.00
Algeria,DZA,Honduras,HND,343.59
Algeria,DZA,Hong Kong,HKG,311.00
Algeria,DZA,Hungary,HUN,197.00
Algeria,DZA,Iceland,ISL,21.00
Algeria,DZA,India,IND,3305.00
Algeria,DZA,Indonesia,IDN,1210.00
Algeria,DZA,"Iran, Islamic Republic of",IRN,9325.00
Algeria,DZA,Iraq,IRQ,11049.00
Algeria,DZA,Ireland,IRL,389.00
Algeria,DZA,Israel,ISR,719.00
Algeria,DZA,Italy,ITA,3581.00
Algeria,DZA,Jamaica,JAM,359.00
Algeria,DZA,Japan,JPN,910.00
Algeria,DZA,Jordan,JOR,7950.00
Algeria,DZA,Kazakhstan,KAZ,1443.00
Algeria,DZA,Kenya,KEN,248.40
Algeria,DZA,Kiribati,KIR,1.00
Algeria,DZA,"Korea, Democratic People’s Republic of",PRK,217.00
Algeria,DZA,"Korea, Republic of",KOR,647.00
Algeria,DZA,Kuwait,KWT,5023.00
Algeria,DZA,Kyrgyzstan,KGZ,229.00
Algeria,DZA,Lao People’s Democratic Republic,LAO,139.00
Algeria,DZA,Latvia,LVA,82.00
Algeria,DZA,Lebanon,LBN,6747.00
