HostCode,TargetCode,Amount
AND,HKG,30240.00
AND,HUN,10080.00
AND,IND,611520.00
AND,IDN,71820.00
AND,IRN,25200.00
AND,IRQ,27720.00
AND,IRL,25200.00
AND,ISR,25200.00
AND,ITA,524160.00
AND,JAM,36960.00
AND,JPN,37800.00
AND,JOR,17640.00
AND,KAZ,105840.00
AND,KEN,14490.00
AND, Democratic People’s Republic of",PRK
AND,KOR,60480.00
AND,KWT,10080.00
AND,KGZ,17640.00
AND,LAO,15120.00
AND,LVA,5040.00
AND,LBN,15120.00
AND,LBR,2898.00
AND,LBY,2898.00
AND,LTU,7560.00
AND,MAC,3780.00
AND,MKD,7560.00
AND,MDG,2898.00
AND,MWI,2898.00
AND,MYS,30240.00
AND,MLI,46368.00
AND,MLT,2520.00
AND,MRT,2898.00
AND,MUS,5796.00
AND,MEX,399840.00
AND,MDA,20160.00
AND,MAR,1790964.00
AND,MOZ,23184.00
AND,MMR,11340.00
AND,NPL,30240.00
AND,NLD,813960.00
AND,ANT,3360.00
AND,NZL,22680.00
AND,NIC,28200.37
AND,NER,14490.00
AND,NGA,137667.87
AND,NOR,5040.00
AND,PAK,120960.00
AND,PSE,25200.00
AND,PAN,6720.00
AND,PNG,3780.00
AND,PRY,16800.00
AND,PER,26880.00
AND,PHL,1880340.00
AND,POL,55440.00
AND,PRT,22359960.00
AND,PRI,63840.00
AND,ROM,46200.00
AND,RUS,350280.00
AND,RWA,5796.00
AND,LCA,3360.00
AND,VCT,3360.00
AND,WSM,3780.00
AND,SAU,5040.00
AND,SEN,14490.00
AND,SCG,45360.00
AND,SLE,2898.00
AND,SGP,11340.00
AND,SVK,12600.00
AND,SVN,2520.00
AND,SOM,17388.00
AND,ZAF,23184.00
AND,ESP,144404400.00
AND,LKA,30240.00
AND,SDN,17388.00
AND,SUR,10080.00
AND,SWE,173880.00
AND,CHE,415800.00
AND,SYR,10080.00
AND,TWN,22680.00
AND,TJK,22680.00
AND,TZA,8694.00
AND,THA,34020.00
AND,TGO,5796.00
AND,TON,3780.00
AND,TTO,13440.00
AND,TUN,15120.00
AND,TUR,78120.00
AND,TKM,7560.00
AND,UGA,5796.00
AND,UKR,171360.00
AND,ARE,2520.00
AND,GBR,3137400.00
AND,USA,389760.00
AND,URY,336000.00
AND,UZB,68040.00
AND,VEN,13440.00
AND,VNM,83160.00
AND,VIR,3360.00
AND,YEM,15120.00
AND,ZMB,5796.00
AND,ZWE,8694.00
AGO,AFG,48000.00
AGO,ALB,94080.00
AGO,DZA,181056.00
AGO,AND,960.00
AGO,ATG,960.00
AGO,ARG,13440.00
AGO,ARM,17280.00
AGO,AUS,480000.00
AGO,AUT,278400.00
AGO,AZE,29760.00
AGO,BHS,960.00
AGO,BHR,960.00
AGO,BGD,110400.00
AGO,BRB,2880.00
AGO,BLR,234240.00
AGO,BEL,273600.00
AGO,BLZ,960.00
AGO,BEN,15847.00
AGO,BMU,1920.00
AGO,BOL,12770.41
AGO,BIH,155520.00
AGO,BWA,45448.00
AGO,BRA,21120.00
AGO,BGR,103680.00
AGO,BFA,36478.00
AGO,BDI,25714.00
AGO,KHM,6720.00
AGO,CMR,4485.00
AGO,CAN,82560.00
AGO,CPV,125580.00
AGO,CAF,2691.00
AGO,TCD,8073.00
AGO,CHL,12480.00
AGO,CHN,194880.00
AGO,COL,37440.00
AGO,COM,2990.00
AGO,COG,60099.00
AGO,COD,1677091.00
AGO,CRI,4749.23
AGO,CIV,4784.00
AGO,HRV,72000.00
AGO,CUB,24960.00
AGO,CYP,3840.00
AGO,CZE,225600.00
AGO,DNK,144000.00
AGO,DJI,3312.00
AGO,DMA,960.00
AGO,DOM,37237.20
AGO,ECU,22363.14
AGO,EGY,185472.00
AGO,SLV,27337.38
AGO,GNQ,4784.00
AGO,ERI,35282.00
AGO,EST,22080.00
AGO,ETH,18538.00
AGO,FJI,960.00
AGO,FIN,42240.00
AGO,FRA,9955200.00
AGO,GAB,1495.00
AGO,GMB,1196.00
AGO,GEO,22080.00
AGO,DEU,530880.00
AGO,GHA,27807.00
AGO,GIB,1920.00
AGO,GRC,112320.00
AGO,GRD,1920.00
AGO,GTM,30274.03
AGO,GIN,15548.00
AGO,GNB,3289.00
AGO,GUY,6480.00
AGO,HTI,17280.00
AGO,HND,21054.03
AGO,HKG,15360.00
AGO,HUN,49920.00
AGO,ISL,3840.00
AGO,IND,814080.00
AGO,IDN,35520.00
AGO,IRN,17280.00
AGO,IRQ,20160.00
AGO,IRL,116160.00
AGO,ISR,18240.00
AGO,ITA,404160.00
AGO,JAM,22080.00
AGO,JPN,29760.00
AGO,JOR,12480.00
AGO,KAZ,78720.00
AGO,KEN,18538.00
AGO, Democratic People’s Republic of",PRK
AGO,KOR,29760.00
AGO,KWT,4800.00
AGO,KGZ,13440.00
AGO,LAO,7680.00
AGO,LVA,27840.00
AGO,LBN,11520.00
AGO,LSO,233818.00
AGO,LBR,2392.00
AGO,LBY,6624.00
