TargetCode,HostCode,Amount
BGD, SGP ,78459421.94
MYS, BRN ,78312582.01
ITA, AUT ,78027110.91
RWA, ASM ,77738989.15
GRC, ALB ,77546635.62
TUN, AUS ,77294867.62
ESP, NLD ,77091859.79
AUT, TUR ,77089382.57
PNG, USA ,76795492.41
TON, GBR ,76499589.4
TZA, MYS ,76419470.12
SWE, PRT ,76380231.22
BIH, AUS ,76285796.24
COL, ECU ,76274199.19
GNB, PRT ,76167027.5
IDN, KOR ,76135145.81
ZAF, NLD ,75902101.81
ZAF, AUS ,75680353.42
PRY, CAN ,75586066.8
ERI, ETH ,75499664.59
ZMB, AUS ,74772189.17
ZAF, CHL ,74704475.05
AUS, PNG ,74548898.18
KOR, FRA ,74506053.67
LAO, THA ,74345164.75
DZA, ITA ,74289561.87
BEL, LUX ,74192054.13
ROM, GRC ,74012517.8
BLR, DEU ,73418217.05
NCL, USA ,73341016.48
LVA, IRL ,73321527.85
COL, FRA ,72929205.97
GEO, ARM ,72760458.11
GBR, NOR ,71959431.06
ARE, CHE ,71771415.11
CAN, DEU ,71604131.39
OMN, NOR ,71514724.22
RWA, AUS ,71442253.62
FRA, GAB ,71172253.47
CZE, AUS ,71139532.21
DOM, ITA ,71070194.61
EGY, GBR ,70816762.76
GRC, GBR ,70816762.76
VGB, EGY ,70697332.95
EGY, FRA ,70620250.42
MNP, ESP ,70439874.49
LTU, USA ,70190611.52
VCT, AUS ,69928646.56
HRV, ITA ,69820129.86
BRA, CAN ,69813800.97
SWE, AUS ,69625925.14
GEO, UKR ,69513589.11
SWZ, DEU ,68836110
JPN, BRA ,68512450.92
COL, ITA ,68390392.21
HRV, CHE ,68185389.64
ARG, AUS ,68112318.07
QAT, SWE ,67971290.04
COM, FRA ,67917082.94
CMR, USA ,67817209.38
ESP, DNK ,67061769.17
MNP, DNK ,66988207.65
POL, BEL ,66761904.31
MUS, AUS ,65993268.18
KEN, CAN ,65932152.45
MNG, KOR ,65674342.3
IRL, CAN ,65624126.82
LUX, DEU ,65623275.87
SWE, GBR ,65571076.63
POL, MOZ ,65449186.93
FIN, DNK ,65099174.39
PER, IRL ,65041910.26
MNP, GBR ,64922097.83
ROM, GBR ,64903825.36
VEN, NOR ,64598555.47
CAN, FRA ,64425491.61
ARE, BEL ,64383093.37
SWE, AUT ,64292860.9
PER, NZL ,64201794.34
IRN, FRA ,64200227.65
SGP, USA ,63897295.42
GEO, USA ,63780605.82
MDA, USA ,63704597
GRC, TUR ,63690296.03
ROM, BEL ,63682242.69
LAO, CAN ,63673297.84
TUN, CAN ,63306600.66
KWT, USA ,63111942.32
FIN, FRA ,63101152.71
GUY, GBR ,62948233.57
HUN, GBR ,62948233.57
UGA, GBR ,62948233.57
EGY, YEM ,62680255.09
UGA, GRC ,62587098.97
