HostCode,TargetCode,Amount
DZA,LAO,150120
DZA,LVA,88560
DZA,LBN,7286760
DZA,LSO,19872
DZA,LBR,57132
DZA,LBY,1976022
DZA,LIE,2160
DZA,LTU,136080
DZA,LUX,97200
DZA,MAC,42120
DZA,MKD,101520
DZA,MDG,85698
DZA,MWI,68310
DZA,MYS,1329480
DZA,MDV,2160
DZA,MLI,787428
DZA,MLT,68040
DZA,MHL,4320
DZA,MTQ,1080
DZA,MRT,1331424
DZA,MUS,74520
DZA,MYT,0
DZA,MEX,4281120
DZA,FSM,9720
DZA,MDA,295920
DZA,MCO,34560
DZA,MNG,3240
DZA,MSR,6480
DZA,MAR,32915484
DZA,MOZ,331614
DZA,MMR,110160
DZA,NAM,197478
DZA,NRU,0
DZA,NPL,326160
DZA,NLD,765720
DZA,ANT,42120
DZA,NCL,1080
DZA,NZL,263520
DZA,NIC,309700.5036
DZA,NER,255852
DZA,NGA,3143118.495
DZA,NIU,3240
DZA,NFK,0
DZA,MNP,4320
DZA,NOR,115560
DZA,OMN,356400
DZA,PAK,1452600
DZA,PLW,4320
DZA,PSE,27424440
DZA,PAN,78840
DZA,PNG,21600
DZA,PRY,174960
DZA,PER,301320
DZA,PHL,1625400
DZA,POL,972000
DZA,PRT,770040
DZA,PRI,675000
DZA,QAT,275400
DZA,REU,0
DZA,ROM,2505600
DZA,RUS,9002880
DZA,RWA,132894
DZA,SHN,2160
DZA,KNA,15120
DZA,LCA,20520
DZA,SPM,0
DZA,VCT,22680
DZA,WSM,44280
DZA,SMR,3240
DZA,STP,8694
DZA,SAU,4239000
DZA,SEN,386262
DZA,SCG,700920
DZA,SYC,14904
DZA,SLE,59616
DZA,SGP,130680
DZA,SVK,226800
DZA,SVN,45360
DZA,SLB,3240
DZA,SOM,7181244
DZA,ZAF,423522
DZA,ESP,3585600
DZA,LKA,433080
DZA,SDN,14983488
DZA,SUR,100440
DZA,SWZ,6210
DZA,SWE,267840
DZA,CHE,4633200
DZA,SYR,6663600
DZA,TWN,226800
DZA,TJK,358560
DZA,TZA,191268
DZA,THA,724680
DZA,TLS,8640
DZA,TGO,95634
DZA,TKL,1080
DZA,TON,21600
DZA,TTO,137160
DZA,TUN,6193800
DZA,TUR,1437480
DZA,TKM,115560
DZA,TCA,1080
DZA,TUV,1080
DZA,UGA,119232
DZA,UKR,2463480
DZA,ARE,1357560
DZA,GBR,2995920
DZA,USA,7486560
DZA,URY,103680
DZA,UZB,1009800
DZA,VUT,2160
DZA,VEN,140400
DZA,VNM,804600
DZA,VGB,3240
DZA,VIR,28080
DZA,WLF,3240
DZA,YEM,7690680
DZA,ZMB,109296
DZA,ZWE,146556
ASM,AFG,15360
ASM,ALB,0
ASM,DZA,0
ASM,ASM,0
ASM,AND,0
ASM,AGO,0
ASM,AIA,0
ASM,ATG,0
ASM,ARG,4800
ASM,ARM,1920
ASM,ABW,0
ASM,AUS,28800
ASM,AUT,9600
ASM,AZE,3840
ASM,BHS,0
ASM,BHR,0
ASM,BGD,26880
ASM,BRB,0
ASM,BLR,0
ASM,BEL,0
ASM,BLZ,0
ASM,BEN,0
ASM,BMU,0
ASM,BTN,0
ASM,BOL,0
ASM,BIH,3840
ASM,BWA,0
ASM,BRA,0
ASM,BRN,0
ASM,BGR,0
ASM,BFA,0
ASM,BDI,0
ASM,KHM,11520
ASM,CMR,0
ASM,CAN,14400
ASM,CPV,0
ASM,CYM,0
ASM,CAF,0
ASM,TCD,0
ASM,CHL,9600
ASM,CHN,641280
ASM,COL,0
ASM,COM,0
ASM,COG,0
ASM,COD,0
ASM,COK,76800
ASM,CRI,0
ASM,CIV,0
ASM,HRV,7680
ASM,CUB,0
ASM,CYP,3840
ASM,CZE,4800
ASM,DNK,4800
ASM,DJI,0
ASM,DMA,0
ASM,DOM,0
ASM,ECU,0
ASM,EGY,6624
ASM,SLV,5467.475388
ASM,GNQ,0
ASM,ERI,0
ASM,EST,0
ASM,ETH,0
ASM,FLK,0
ASM,FRO,0
ASM,FJI,587520
ASM,FIN,1920
ASM,FRA,14400
ASM,GUF,0
ASM,PYF,11520
ASM,GAB,0
ASM,GMB,0
ASM,GEO,1920
ASM,DEU,17280
ASM,GHA,0
ASM,GIB,0
ASM,GRC,17280
ASM,GRL,0
ASM,GRD,0
ASM,GLP,0
ASM,GUM,272640
ASM,GTM,0
ASM,GIN,0
ASM,GNB,0
ASM,GUY,0
ASM,HTI,0
ASM,HND,0
ASM,HKG,26880
ASM,HUN,3840
ASM,ISL,0
ASM,IND,72960
ASM,IDN,23040
ASM,IRN,5760
ASM,IRQ,7680
ASM,IRL,7680
ASM,ISR,3840
ASM,ITA,32640
ASM,JAM,0
ASM,JPN,15360
ASM,JOR,1920
ASM,KAZ,9600
ASM,KEN,3312
ASM,KIR,11520
ASM,PRK,3840
ASM,KOR,702720
ASM,KWT,1920
ASM,KGZ,1920
ASM,LAO,3840
ASM,LVA,1920
ASM,LBN,11520
ASM,LSO,0
ASM,LBR,0
ASM,LBY,0
ASM,LIE,0
ASM,LTU,0
ASM,LUX,0
ASM,MAC,0
ASM,MKD,5760
ASM,MDG,0
ASM,MWI,0
ASM,MYS,30720
ASM,MDV,0
ASM,MLI,0
ASM,MLT,7680
ASM,MHL,34560
ASM,MTQ,0
ASM,MRT,0
ASM,MUS,3312
ASM,MYT,0
ASM,MEX,0
ASM,FSM,76800
ASM,MDA,0
ASM,MCO,0
ASM,MNG,0
ASM,MSR,0
ASM,MAR,0
ASM,MOZ,0
ASM,MMR,3840
ASM,NAM,0
ASM,NRU,3840
ASM,NPL,3840
ASM,NLD,15360
ASM,ANT,0
ASM,NCL,7680
ASM,NZL,883200
ASM,NIC,0
ASM,NER,0
ASM,NGA,0
ASM,NIU,23040
ASM,NFK,0
ASM,MNP,30720
ASM,NOR,0
ASM,OMN,0
ASM,PAK,19200
ASM,PLW,34560
ASM,PSE,1920
ASM,PAN,0
ASM,PNG,172800
ASM,PRY,0
ASM,PER,0
ASM,PHL,2549760
ASM,POL,9600
ASM,PRT,1920
ASM,PRI,0
ASM,QAT,0
ASM,REU,0
ASM,ROM,4800
ASM,RUS,3840
ASM,RWA,0
ASM,SHN,0
ASM,KNA,0
ASM,LCA,0
ASM,SPM,0
ASM,VCT,0
ASM,WSM,68014080
ASM,SMR,0
ASM,STP,0
ASM,SAU,0
ASM,SEN,0
ASM,SCG,9600
ASM,SYC,0
ASM,SLE,0
ASM,SGP,11520
ASM,SVK,0
ASM,SVN,1920
ASM,SLB,15360
ASM,SOM,0
ASM,ZAF,26496
ASM,ESP,4800
ASM,LKA,23040
ASM,SDN,0
ASM,SUR,0
ASM,SWZ,0
ASM,SWE,1920
ASM,CHE,4800
ASM,SYR,1920
ASM,TWN,718080
ASM,TJK,1920
ASM,TZA,0
ASM,THA,11520
ASM,TLS,3840
ASM,TGO,0
ASM,TKL,103680
ASM,TON,4400640
ASM,TTO,0
ASM,TUN,0
ASM,TUR,11520
ASM,TKM,0
ASM,TCA,0
ASM,TUV,3840
ASM,UGA,0
ASM,UKR,1920
ASM,ARE,0
ASM,GBR,190080
ASM,USA,17241600
ASM,URY,4800
ASM,UZB,5760
ASM,VUT,15360
ASM,VEN,0
ASM,VNM,783360
ASM,VGB,0
ASM,VIR,0
ASM,WLF,11520
ASM,YEM,1920
ASM,ZMB,0
ASM,ZWE,3312
AND,AFG,87360
AND,ALB,20160
AND,DZA,60858
AND,ASM,0
AND,AND,0
AND,AGO,23184
AND,AIA,0
